職類名稱	細項職類名稱	職類群	 級別 	 報檢數 	 到檢數 	 合格數 
001冷凍空調裝修	00100冷凍空調裝修	電機類群	乙級	627	602	191
001冷凍空調裝修	00100冷凍空調裝修	電機類群	丙級	462	407	253
001冷凍空調裝修	00100冷凍空調裝修	電機類群	甲級	78	71	11
004一般手工電銲	00400一般手工電銲	銲接配管類群	單一級	578	545	347
007室內配線（屋內線路裝修）	00700室內配線（屋內線路裝修）	電機類群	乙級	3134	2965	1299
007室內配線（屋內線路裝修）	00700室內配線（屋內線路裝修）	電機類群	丙級	1264	1194	729
007室內配線（屋內線路裝修）	00700室內配線（屋內線路裝修）	電機類群	甲級	46	43	2
009泥水	00901泥水－砌磚	營造類群	丙級	11	11	11
009泥水	00903泥水－面材舖貼	營造類群	丙級	3	3	3
010電器修護	01000電器修護	電機類群	乙級	331	329	239
010電器修護	01000電器修護	電機類群	丙級	46	45	23
011鑄造	01100鑄造	金屬及機械加工類群	乙級	217	216	177
011鑄造	01100鑄造	金屬及機械加工類群	丙級	86	86	74
012家具木工	01200家具木工	營造類群	乙級	262	260	161
012家具木工	01200家具木工	營造類群	丙級	156	144	101
012家具木工	01200家具木工	營造類群	甲級	14	14	3
013工業配線	01300工業配線	電機類群	乙級	765	730	336
013工業配線	01300工業配線	電機類群	丙級	397	383	260
013工業配線	01300工業配線	電機類群	甲級	5	5	2
014板金	01400板金	金屬及機械加工類群	乙級	44	44	27
014板金	01400板金	金屬及機械加工類群	甲級	3	3	3
015冷作	01500冷作	銲接配管類群	乙級	7	7	6
015冷作	01500冷作	銲接配管類群	丙級	23	23	23
015冷作	01500冷作	銲接配管類群	甲級	1	1	1
016自來水管配管	01600自來水管配管	銲接配管類群	乙級	71	68	48
016自來水管配管	01600自來水管配管	銲接配管類群	丙級	1084	1032	773
019模板	01900模板	營造類群	乙級	5	5	3
020汽車修護	02000汽車修護	機械及設備修護類群	乙級	1499	1475	814
020汽車修護	02000汽車修護	機械及設備修護類群	丙級	1475	1441	848
021熱處理	02100熱處理	金屬及機械加工類群	丙級	171	163	110
021熱處理	02103熱處理－滲碳滲氮熱處理	金屬及機械加工類群	乙級	467	463	274
021熱處理	02104熱處理－高週波熱處理	金屬及機械加工類群	乙級	3	3	3
027重機械修護	02702重機械修護－引擎	機械及設備修護類群	乙級	108	106	55
027重機械修護	02702重機械修護－引擎	機械及設備修護類群	丙級	14	14	13
028工業電子	02800工業電子	電子儀表類群	丙級	2237	2187	1581
029視聽電子	02900視聽電子	電子儀表類群	乙級	154	153	100
029視聽電子	02900視聽電子	電子儀表類群	丙級	354	351	228
030化學	03000化學	化工類群	乙級	1760	1738	1017
030化學	03000化學	化工類群	丙級	458	445	258
031鍋爐操作	03100鍋爐操作	職業安全衛生操作類群	乙級	776	755	483
031鍋爐操作	03100鍋爐操作	職業安全衛生操作類群	丙級	31	28	18
031鍋爐操作	03100鍋爐操作	職業安全衛生操作類群	甲級	1	1	1
032變壓器裝修	03200變壓器裝修	電機類群	乙級	291	288	195
032變壓器裝修	03200變壓器裝修	電機類群	丙級	333	332	299
039門窗木工	03900門窗木工	營造類群	乙級	3	3	3
039門窗木工	03900門窗木工	營造類群	丙級	5	5	5
040配電線路裝修	04000配電線路裝修	電機類群	乙級	551	518	370
040配電線路裝修	04000配電線路裝修	電機類群	丙級	419	396	362
040配電線路裝修	04000配電線路裝修	電機類群	甲級	101	97	47
042測量	04200測量	營造類群	丙級	514	503	274
042測量	04202測量－工程測量	營造類群	乙級	1719	1684	855
042測量	04202測量－工程測量	營造類群	甲級	11	9	2
042測量	04203測量－地籍測量	營造類群	乙級	158	151	74
048女裝	04800女裝	服飾類群	乙級	393	390	120
048女裝	04800女裝	服飾類群	丙級	493	465	279
048女裝	04800女裝	服飾類群	甲級	105	102	37
050石油化學	05000石油化學	化工類群	乙級	2	2	2
052農業機械修護	05200農業機械修護	機械及設備修護類群	乙級	146	145	105
052農業機械修護	05200農業機械修護	機械及設備修護類群	丙級	108	106	62
